<ID|readonly|noverify>;<English>;<French>;<Italian>;<German>;<Spanish>;<Russian>;<Polish>;<Czech>;<Turkish>;<Chinese>;<HChinese>;<TChinese>;<Japanese>;<Portuguese>;<Vietnamese>;<Ukrainian>;<Serbian>;<Korean>;<Hungarian>;<Belarusian>;<Romanian>;<Comments>
network/p2p_seeds;P2P connections;Connexions P2P;Connessioni P2P;P2P-Verbindungen;Conexiones P2P;P2P подключения;Połączenia P2P;Spojení P2P;P2P bağlantıları;P2P 连接;P2P 连接;P2P 連接;P2P 接続;Ligações P2P;Kết nối P2P;P2P з'єднання;PTP konekcije;P2P 연결;P2P kapcsolatok;P2P-падлучэнні;Conexiuni P2P;
network/http_seeds;HTTP connections;Connexions HTTP;Connessioni HTTP;HTTP-Verbindungen;Conexiones HTTP;HTTP подключения;Połączenia HTTP;Spojení HTTP;HTTP bağlantıları;HTTP 连接;HTTP 连接;HTTP 連接;HTTP 接続;Ligações HTTP;Kết nối HTTP;HTTP з'єднання;HTTP konekcije;HTTP 연결;HTTP kapcsolatok;HTTP-падлучэнні;Conexiuni HTTP;
network/speed;Speed;Vitesse;Velocità;Geschwindigkeit;Velocidad;Скорость;Prędkość;Rychlost;Hız;速度;速度;速度;速度;Velocidade;Tốc độ;Швидкість;Brzina;속도;Sebesség;Хуткасць;Viteză;
network/seeds;Connections;Connexions;Connessioni;Verbindungen;Conexiones;Подключения;Połączenia;Připojení;Bağlantılar;连接;连接;連接;接続;Conexões;Kết nối;З'єднання;Konekcije;연결;Kapcsolatok;Падлучэнні;Conexiuni;
torrent_title;Download full last version with bit-torrent;Télécharger la dernière version complète avec bit-torrent;Scarica l'ultima versione completa con bit-torrent;Aktuelle Version mit Bit-Torrent herunterladen;Descargar última versión completa con bit-torrent;Скачать полную последнюю версию игры с помощью бит-торрента;Pobierz najnowszą pełną wersję za pomocą protokołu bit-torrent;Stáhnout úplnou poslední verzi pomocí bit-torrentu;Bit-torrent ile son full sürümü indir;使用 BT 软件下载最新的完整版客户端;使用 BT 软件下载最新的完整版客户端;使用 BT 軟體下載最新的完整版客戶端;BitTorrent 付の最新版をフルダウンロードする;Descarregar a última versão completa com bit-torrent;Tải phiên bản đầy đủ với bit-torrent;Завантажити повну найновішу версію гри за допомогою біт-торрента;Skini poslednju verziju pomoću bit-torrenta;bit-torrent로 최신 버전 모두 다운로드;A naprakész játékverzióhoz tartozó .torrent fájl letöltése.;Спампаваць torrent-файл, з дапамогай якога можна праз любы старонні torrent-кліент спампаваць поўную найноўшую версію гульні;Descărcare versiune completă cu bit-torrent;
torrent;Download via torrent-file;Télécharger le torrent;Scarica via torrent;Torrent herunterladen;Descargar torrent;Скачать клиент торрентом;Pobierz torrent;Stáhnout torrent;Torrent dosyası aracılığıyla indir;下载种子文件;下载种子文件;下載種子檔案;Torrent をダウンロードする;Descarregar torrent;Tải torrent;Завантажити клієнт торрентом;Skini klijent pomoću torrenta;torrent 파일로 다운로드;Letöltés torrent fájllal;Спампаваць праз старонні torrent-кліент;Descărcare prin fișier torrent;
latest_launcher_title;Direct link to the latest launcher installer;Lien direct vers le dernier programme d'installation du launcher;Collegamento diretto all'ultima versione del programma di installazione del launcher;Direktlink zum Installationsprogramm für den aktuellen Launcher;Vínculo directo al último instalador del iniciador;Прямая ссылка на последнюю версию лончера;Bezpośredni link do najnowszej wersji programu uruchamiającego;Přímý odkaz ke stažení nejnovější verze spouštěcího programu;Son versiyon başlatıcı yükleyicisine doğrudan bağlantı;启动器最新版本的安装程序下载链接;启动器最新版本的安装程序下载链接;啟動器最新版本的安裝程式下載連結;最新のランチャー インストーラへの直接リンク;Link direto para o último iniciador de instalação;Liên kết trực tiếp của bộ cài launcher mới nhất;Пряме посилання на найновішу версію лончера;Direktan link za poslednju instalaciju pokretača igre;최신 론처 인스톨러에 대한 직접 링크;Közvetlen link a legfrissebb indítópult telepítőjéhez;Прамая спасылка на найноўшую версію лаўнчара;Legătură directă instalator lansator;
latest_launcher;Latest launcher;Dernier launcher;Ultima versione del launcher;Aktueller Launcher;Último iniciador;Скачать лончер;Najnowszy program uruchamiający;Nejnovější spouštěcí program;Son başlatıcı ;启动器最新版本;启动器最新版本;啟動器最新版本;最新のランチャー;Último iniciador;Launcher mới nhất;Завантажити лончер;Najnoviji pokretač igre;최신 론처;Legfrissebb indítópult;Спампаваць лаўнчар;Lansator nou;
torrent/limit_upl_speed;Limit upload speed to (kB/s):;Limiter la vitesse descendante à (KO/s) :;Limita l'upload a (kB/s):;Upload-Geschwindigkeit begrenzen auf (KB/sek):;Limite la velocidad de carga a (kB / s):;Ограничить скорость раздачи до (кБс):;Ogranicz wysyłanie do (kB/s):;Omezit rychlost odesílání na (kB/s):;Gönderme hızını sınırla (kB/s):;上传速度限制（KBs）：;上传速度限制（KBs）：;上傳速度限制（KBs）：;アップロード速度制限 (Kb/s)：;Limitar velocidade de envio para (kB/s):;Giới hạn tốc độ tải lên (kB/s):;Обмежити швидкість віддачі (кБ/с):;Ograničenje upload brzine (kB/s):;업로드 제한 속도(kB/s):;Feltöltési sebesség korlátozása (kB/s):;Абмежаваць хуткасць раздачы да (кБ/с):;Limitare viteză încărcare la (KB/s):;
torrent/limit_dnl_speed;Limit download speed to (kB/s):;Limiter la vitesse montante à (KO/s) :;Limita il download a (kB/s):;Download-Geschwindigkeit begrenzen auf (KB/sek):;Limite la velocidad de descarga a (kB / s):;Ограничить скорость скачивания до (кБс):;Ogranicz pobieranie do (kB/s):;Omezit rychlost stahování na (kB/s):;İndirme hızını sınırla (kB/s):;下载速度限制（KBs）：;下载速度限制（KBs）：;下載速度限制（KBs）：;ダウンロード速度制限 (Kb/s)：;Limitar velocidade de receção para (kB/s):;Giới hạn tốc độ tải xuống (kB/s):;Обмежити швидкість завантаження (кБ/с):;Ograničenje brzine skidanja (kB/s):;다운로드 제한 속도(kB/s):;Letöltési sebesség korlátozása (kB/s):;Абмежаваць хуткасць спампоўвання да (кБ/с):;Limitare viteză descărcare la (KB/s):;
torrent/UTP;UTP download;Téléchargement UTP;Download UTP;UTP-Download;Descarga de UTP;Использовать UTP;Pobieranie UTP;UTP stahování;UTP indirme;UTP 下载;UTP 下载;UTP 下載;UTPダウンロード;Download UTP;UTP tải xuống;Використовувати UTP;UTP skidanje;UTP 다운로드;UTP-letöltés;Выкарыстоўваць UTP;Descărcare UTP;
torrent/UTP_title;Use of UTP usually increases speed of download, but in some cases it can cause problems with provider hardware.;L'utilisation de UTP augmente généralement le vitesse de téléchargement, mais peut parfois entrer en conflit avec le routeur du fournisseur internet.;L'uso dell'UTP di solito aumenta la velocità di download, ma in alcuni casi può causare problemi con l'hardware del provider;Die Verwendung von UTP erhöht in der Regel die Downloadgeschwindigkeit, kann aber in manchen Fällen zu Problemen mit der Hardware von Providern führen.;El uso de UTP generalmente aumenta la velocidad de descarga, pero en algunos casos puede causar problemas con el hardware del proveedor;Использование UTP обычно ускоряет загрузку обновлений. Однако в некоторых случаях может вызвать проблемы с сетью.;Skorzystaj z UTP by zwiększyć prędkość pobierania. W niektórych przypadkach mogą wystąpić błędy z powodu dostawcy połączenia.;Použití UTP většinou zvýší rychlost stahování, ale v některých případech může způsobit potíže se síťovým zařízením;Genellikle indirme hızını artırmak için UTP kullanılır, ancak bazı durumlarda sağlayıcı donanımıyla ilgili sorunlar ortaya çıkabilir.;使用 UTP（端口支持自动协商功能）通常能提升下载速度，但网络设备不一定支持。;使用 UTP（端口支持自动协商功能）通常能提升下载速度，但网络设备不一定支持。;使用 UTP通常能提升下載速度，但某些情況會因為硬體而發生問題。;Use of UTP usually increases speed of download, but in some cases it can cause problems with provider hardware;O uso de UTP normalmente aumenta a velocidade de download, em alguns casos pode causar problemas com o provider hardware;Sử dụng UTP thường tăng tốc độ tải về, nhưng trong một số trường hợp, nó có thể gây ra vấn đề với phần cứng nhà cung cấp;Зазвичай, використовування UTP пришвидшує завантаження оновлень. Проте, в деяких випадках може спричинити проблеми з мережею.;Korišćenje UTP skidanja obično poveća brzinu skidanja, ali u nekim slučajevima može da izazove problem sa hardverom provajdera.;UTP를 사용하면 일반적으로 다운로드 속도가 증가하지만 때로 제공자 하드웨어에 문제를 일으킬 수 있습니다.;Az UTP használata általában megnöveli a letöltés sebességét, de bizonyos esetekben problémát okozhat a szolgáltató hardverével kapcsolatban.;Выкарыстоўванне UTP звычайна паскарае спампоўванне абнаўленняў, але ў некаторых выпадках можа выклікаць праблемы з сеткай.;Utilizând UTP se va mări viteza de descărcare, dar în unele cazuri ar putea crea probleme cu echipamentele furnizorului.;
torrent/seed_on;Seed after download;Partage de données après téléchargement;Condividi dopo il download;Nach Download weiter Seeden;Semilla después de la descarga;Раздавать после загрузки;Wysyłaj po pobraniu;Odesílat data po ukončení stahování;İndirmeden sonra besleme yap;下载完继续做种;下载完继续做种;下載完繼續做種子;ダウンロード後にシード;Semear depois de fazer o download;Seed sau khi tải về;Роздавати після завантаження;Seeduj posle skidanja;다운로드 후 시드;Feltöltés a letöltés után;Раздаваць пасля спампавання;Partajare după descărcare;
torrent/check_files_info;This action will check your data for consistency, fix all broken data, and after that it will start to seed data to other players (if 'Seed after download' is enabled).;Cette action va vérifier la consistence de vos fichiers, réparer les éléments endommagés et après cela partager les données aux autres joueurs (si l'option l'autorisant a été cochée);Questa azione verifica la consistenza dei tuoi dati, ripara tutti i dati corrotti e inizierà a condividere con gli altri giocatori (se “Condividi dopo il donlowd” è attivo);Mit dieser Option werden die Spieldateien auf erst auf Integrität geprüft, im Fall einer Beschädigung repariert und im Anschluss (falls 'Nach Download weiter Seeden' aktiviert wurde) als Seed anderen Spielern zum Download zur Verfügung gestellt.;"Esta acción verificará la coherencia de los datos, arreglará todos los datos fragmentados y luego comenzará a enviar los datos de inicialización a otros jugadores (si está habilitado ""Seed after download"")";Эта кнопка вызовет проверку всех файлов на целостность, исправит все ошибки и запустит раздачу файлов, если соответствующая опция включена в настройках.;Ta opcja spowoduje sprawdzenie danych, naprawi błędne pliki oraz wyśle je do innych graczy (gdy opcja „Wysyłaj po pobraniu” jest włączona.;Tato funkce ověří konzistenci herních dat, opraví poškozené soubory a poté začne posílat herní data ostatním uživatelům (pokud je zapnutá volba Odesílání dat po ukončení stahování).;Bu seçenek istikrar amacıyla sürekli datanızı kontrol edecek, bütün bozuk datayı düzeltecek ve tamamlandığında diğer kullanıcılara besleme yapacak (eğer ‘İndirmeden sonra besleme yap’ seçeneği aktif ise);程序会检查游戏文件的一致性，并尝试修复错误。若钩选了“下载完继续做种”，程序会在检查完成后自动做种。;程序会检查游戏文件的一致性，并尝试修复错误。若钩选了“下载完继续做种”，程序会在检查完成后自动做种。;程式會檢查遊戲檔案的一致性，並嘗試修復錯誤。若勾選了“下載完繼續做種子”，程式會在檢查完成後自動做種子。;This action will check your data for consistency, fix all broken data and after that it will start seed data to other players (if 'Seed after download' is enabled);Esta ação irá verificar os seus dados para  consistência, corrigir todos os dados corruptos e depois disso ele vai começar a semear os dados para outros jogadores (se 'Semear depois de fazer o download' estiver selecionada);"Hành động này sẽ kiểm tra dữ liệu của bạn cho phù hợp, khắc phục tất cả dữ liệu bị hỏng và sau đó nó sẽ bắt đầu seed dữ liệu cho người chơi khác (nếu 'Seed sau khi tải về ""được kích hoạt)";"Ця дія запустить перевірку ваших даних на цілісність, після чого (якщо опція ""Роздавати після завантаження"" увімкнена) розпочнеться роздача файлів іншим користувачам.";Ovo dugme će uključiti proveru konzistentnosti svih fajlova, ispraviti sve greške i pokrenuti seedovanje fajlova, u slučaju da je odgovarajuća opcija uključena u podešavanjima.;이 작업은 데이터 일관성을 검사하고 손상된 데이터를 모두 수정한 후 데이터를 다른 플레이어에게 시드합니다('다운로드 후 시드'를 사용한 경우).;Ez a művelet ellenőrizni fogja a fájlok épségét, kijavítja a sérülteket, majd elkezdi feltölteni azokat a többi játékosnak (ha a Feltöltés a letöltés után beállítás engedélyezve van).;Гэтая кнопка запусціць праверку ўсіх файлаў на цэласнасць, выправіць усе памылкі і запусціць раздачу файлаў (калі параметр «Раздаваць пасля спампавання» ўключаны ў наладах).;"Această acțiune va verifica consistența datelor, va fixa datele corupte, după care va începe partajarea datelor spre alți jucători (dacă ""Partajare după descărcare"" este activată).";
torrent/DHT;Use DHT;Utiliser DHT;Usa DHT;DHT verwenden;Usar DHT;Использовать DHT;Użyj DHT;Zapnout DHT;DHT kullan;使用 DHT（分布式哈希表）;使用 DHT（分布式哈希表）;使用 DHT;DHTを使う;Usar DHT;Sử dụng DHT;Використовувати DHT;Koristi DHT;DHT 사용;DHT használata;Выкарыстоўваць DHT;Folosire DHT;
torrent/tracker_exchange;Use tracker exchange;Utiliser l'échange de tracker;Usa lo scambio via tracker;Tracker Exchange verwenden;Usar el intercambio de seguimiento;Использовать обмен трекерами;Użyj wymiany trackerów;Zapnout tracker exchange;İzleyici değişimi kullan;使用 Tracker 交换功能;使用 Tracker 交换功能;使用 Tracker 交換功能;トラッカーエクスチェンジを使う;Use troca de peer;Sử dụng bộ theo dõi trao đổi;Використовувати обмін трекерами;Koristi tracker exchange;트랙커 교환 사용;Tracker-csere használata;Выкарыстоўваць абмен трэкерамі;Folosire schimb agenți de urmărire;
torrent/peer_exchange;Use peer exchange;Utiliser l'échange de pair;Usa lo scambio via peer;Peer Exchange verwenden;Usa intercambio de compañeros;Использовать обмен пирами;Użyj wymiany peerów;Zapnout peer exchange;Eş değişimi kullan;使用 Peer 交换功能;使用 Peer 交换功能;使用 Peer 交換功能;ピアエクスチェンジを使う;Use troca de peer;Sử dụng trao đổi ngang nhau;Використовувати обмін пірами;Koristi peer exchange;피어 교환 사용;Peer-csere használata;Выкарыстоўваць абмен пірамі;Folosire schimb reciproc;
l_settings_title;Launcher settings;Paramètres du Launcher;Impostazioni del Launcher;Launcher-Einstellungen;Configuración del iniciador;Настройки лончера;Ustawienia launchera;Nastavení launcheru;Başlatıcı ayarları;启动器设置;启动器设置;啟動器設定;ランチャー設定;Configurações do iniciador;Cài đặt Launcher;Налаштування лончера;Podešavanja pokretača igre;론처 설정;Indítópult-beállítások;Налады лаўнчара;Setări lansator;
settings/hd_client;Full client;Client complet;Client completo;Vollständiger Client;Cliente completo;Полный клиент;Pełny klient;Kompletní klient;Tam istemci;完整客户端;完整客户端;完整用戶端;フルクライアント;Cliente completo;Full client;Повний клієнт ;Kompletan klijent;전체 클라이언트;Teljes kliens;Поўны кліент гульні;Client complet;
confirm_delete_hd_client;Are you sure you want to delete HD-client files?;Êtes-vous sûr de vouloir supprimer les fichiers du client HD? ;Sei sicuro di voler eliminare i file del client HD? ;Möchten Sie HD-Client-Dateien wirklich löschen? ;¿Estás segura de que quieres eliminar archivos de cliente HD? ;Вы уверены, что желаете удалить все файлы полного клиента?;Na pewno chcesz usunąć pliki klienta HD?;Opravdu chcete odstranit soubory HD klienta?;HD istemci dosyalarını silmek istediğinize emin misiniz?;您确定要删除HD客户端文件吗？ ;您确定要删除HD客户端文件吗？ ;您确定要删除HD客户端文件吗？ ;HDクライアントファイルを削除してもよろしいですか？ ;Tem a certeza de que pretende eliminar os ficheiros do cliente HD?;Are you sure you want to delete HD-client files?;Ви впевнені, що бажаєте видалити всі файли повного клієнта?;Da li ste sigurni da želite da izbrišete HD-client datoteke?;HD 클라이언트 파일을 삭제하시겠습니까?;Biztosan törölni szeretnéd a HD-kliens fájlokat?;Вы сапраўды хочаце выдаліць файлы HD-кліента?;Sigur vrei să ștergi fișierele client HD?;
use_release_candidate;Use 'Work-in-Progress' client;Utiliser le client 'Work-in-Progress';Utilizza il client 'In Lavorazione';Work-in-Progress Updates;Usar el cliente 'Work-in-Progress';Использовать версию 'в разработке';Klient „Work-in-Progress”;WiP/RC klient;Yapım aşamasında’ başlatıcı kullan;使用“开发中功能”客户端;使用“开发中功能”客户端;使用「開發中功能」用戶端;「テストバージョン」クライアントを使う;Usar cliente 'Work-in-Progress';Use 'Work-in-Progress' client;Використовувати версію 'в розробці' ;Koristi verziju 'u izradi';진행 중인 작업' 클라이언트 사용;Munkaverziós kliens használata;Выкарыстоўваць версію «у распрацоўцы»;"Folosire client ""nefinalizat""";
use_release_candidate/hint;Use 'Work-in-Progress' client;Utiliser le client 'Work-in-Progress';Utilizza il client 'In Lavorazione';Work-In-Progress (WIP) Updates erhalten ;Usar el cliente 'Work-in-Progress';Использовать новейшую версию 'в разработке'. Может приводить к багам и нестабильности клиента!;Klient „Work-in-Progress”;Klient 'Work-in-Progress' / Release Candidate;Yapım aşamasında’ başlatıcı kullan;使用“开发中功能”客户端;使用“开发中功能”客户端;使用「開發中功能」用戶端;「テストバージョン」クライアントを使う;Usar cliente 'Work-in-Progress';Use 'Work-in-Progress' client;Використовувати найновішу версію 'в розробці'. Може призвести до помилок та нестабільності клієнта! ;Koristi najnoviju verziju 'u izradi'. Može da dovede do grešaka i nestabilnosti klijenta!;진행 중인 작업' 클라이언트 사용;Munkaverziós kliens használata;Выкарыстоўваць найноўшую версію «у распрацоўцы». Гэта можна прывесці да нестабільнай працы кліента гульні!;"Folosire client ""nefinalizat""";
use_release_candidate/warning;We thank you for using this feature and helping again with development!\n\nUse of the 'work-in-progress' client version will help the developers to improve new update integration and pinpoint issues earlier. Please understand that by using this feature, you may experience instability or issues in the game client!\n\nAre you sure you want to download the work-in-progress client version?;"Merci d'utiliser cette option et d'aider au developpement!\n\nL'utilisation du Client en version ""Work-in-Progress"" aide les développeurs à améliorer l'intégration de nouvelles mises à jour et à déceler les problèmes au plus tôt. Notez cependant que cette version peut comporter quelques instabilités ou quelques problèmes avec le client de jeu !\n\nÊtes-vous sûr de vouloir télécharger le Client ""Work-in-Progress""?";Se si cambia server si passerà alla versione di prova del gioco. Questa opzione è attiva solo per finalità di test. Cambiarla in ogni caso?;Die Verwendung der Work-in-Progress Client-Version hilft den Entwicklern bei der Verbesserung der Integration neuer Updates und ermöglicht das frühzeitige Aufspühren möglicher Fehler. Bitte berücksichtige, dass diese Option unter Umständen zu Instabilität und Problemen mit dem Spiel-Client führen kann.\n\nDanke, dass du die weitere Entwicklung von Spiel unterstützt!\n\nBist du sicher, dass du den aktuellen Work-in-Progress-Client herunterladen möchtest?;Si cambias el servidor, cambiarás a la versión de prueba del juego. Esta opción está habilitada solo con fines de prueba. ¿Seguro que todavía quieres cambiarla?;Использование предварительной версии, находящейся в разработке, помогает разработчикам сделать новые обновления надёжнее, отлаженнее и лучше. Но новая версия может быть нестабильной, так что будьте осторожны.\nСпасибо за помощь!\n\nВы уверены, что хотите скачать предварительную версию клиента?;Używając specjalnej wersji testowej gry (RC), pomagasz naszym deweloperom w procesie tworzenia gry oraz szybszym usuwaniu wszelkich błędów i niedociągnięć. Prosimy mieć na uwadze, że wersja RC klienta gry może być niestabilna z uwagi na częste aktualizacje. \n\nDziękujemy Ci za twój wkład w grę, będzie miał on ogromne znaczenie na kolejne zmiany wprowadzane do game. \n\nCzy jesteś pewny / pewna , że chcesz zainstalować wersję testową klienta? ;Použití tzv. Work-in-Progress / Release Candidate klienta pomůže vývojářům s vylepšením implementace nové aktualizace a doladěním menších technických chyb. Použití této verze může vést k nestabilitě klienta a problémům s hrou.\n\nDěkujeme vám za využívání této funkce a pomoc s vývojem gamu. \n\nJste si jistí, že chcete stáhnout WiP/RC verzi klienta?;Bu özelliği kullandığınız ve geliştirmeye yardım ettiğiniz için teşekkür ederiz!\n\n‘Yapım Aşamasında başlatıcının kullanılması geliştiricilerin oyunu geliştirmesi, iyileştirmesi ve sorunları önceden tespit etmesi için son derece önemlidir. Lütfen bu özelliği kullanarak tutarlılık sorunları yaayabileceğinizi unutmayın!\n\n’Yapım Aşamasında’ başlatıcıyı indirmek istediğinizden emin misiniz?;此选项仅用于测试目的。若变更服务器，游戏也将切换至测试版本。确定要变更吗？;此选项仅用于测试目的。若变更服务器，游戏也将切换至测试版本。确定要变更吗？;此選項僅用於測試目的。若變更伺服器，遊戲也將切換至測試版本。確定要變更嗎？;サーバーを変更すると、ゲームのテストバージョンに切り替わります。このオプションは、テスト目的でしか有効にできません。それでも、変更しますか?;Se mudar de servidor vai mudar para a versão de teste do jogo. Esta opção ativada serve apenas para teste. Tem a certeza que deseja alterar esta opção?;Nếu bạn thay đổi máy chủ, bạn sẽ chuyển sang phiên bản thử nghiệm của trò chơi. Tùy chọn này chỉ được kích hoạt cho mục đích thử nghiệm. Bạn vẫn chắc chắn muốn thay đổi?;Використання версії 'в розробці' допомагає розробникам зробити нові оновлення надійнішими і кращими. Але нова версія може бути нестабільною, так що будьте обережні.\nДякуємо за допомогу!\n\nВи впевнені що хочете завантажити версію клієнта 'в розробці'?;Hvala za pomoć!\n\nKorišćenje preliminarne verzije, koja je još u izradi, pomaže developerima da učine nova ažuriranja sigurnijim, preciznijim i boljim. Ipak, nova verzija može da bude nestabilna, zato budite pažljivi. Da li ste sigurni da želite da skinete preliminarnu verziju klijenta?;이 기능을 사용하고 다시 개발에 도움을 주어 감사합니다!\n\n'진행 중인 작업' 클라이언트 버전을 사용하면 개발자가 새로운 업데이트 통합을 개선하고 문제를 조기에 정확히 파악하는 데 도움이 됩니다. 이 기능을 사용함으로써 게임 클라이언트에 불안정성 또는 문제가 발생할 수 있다는 점을 양지하시기 바랍니다!\n\n진행 중인 작업 클라이언트 버전을 다운로드하시겠습니까?;Köszönjük, hogy használod ezt a funkciót és ezáltal is segíted a fejlesztést.\n\nA munkaverziós kliens használata segíti a fejlesztőket a frissítések integrációjának javításában és a hibák mielőbbi megtalálásában. Ne feledd, hogy a használata instabilitást és hibákat okozhat a játékkliensben!\n\nBiztosan le szeretnéd tölteni a munkaverziós klienst?;Карыстанне версіяй, якая знаходзіцца ў стане распрацоўкі, дапамагае распрацоўшчыкам рабіць новыя абнаўленні больш надзейнымі. Аднак новая версія можа быць нестабільнай, так што будзьце асцярожныя.\nДзякуем за дапамогу!\n\nЦі сапраўды хочаце спампаваць версію «у распрацоўцы»?;"Îți mulțumim că folosești această caracteristică și că ajuți la dezvoltarea jocului!\n\nFolosind versiunea de client ""nefinalizat"", va ajuta dezvoltatorii să îmbunătățească integrarea actualizărilor și să identifice mai devreme problemele. Trebuie să înțelegi că, utilizând această funcție, s-ar putea să întâmpini instabilitate sau probleme în clientul de joc!\n\nSigur dorești să descarci versiunea de client nefinalizat?";
use_bg_update;Auto updates;Mises à jour automatiques;Aggiornamenti automatici;Automatische Updates;Actualizaciones automáticas;Автообновление;Aktualizacje automatyczne;Automatické aktualizace;Otomatik güncelleme;自动更新;自动更新;自動更新;自動アップデート;Atualizações automáticas;Auto updates;Автоматичне оновлення;Automatsko ažuriranje;자동 업데이트;Automatikus frissítés;Аўтаматычнае абнаўленне;Autoactualizări;
use_bg_update/hint;Check updates in background and run Launcher to install newer version;Vérifie les mises à jour en tache de fond et démarre le launcher pour installer une nouvelle version;Controlla gli aggiornamenti in background e avvia il Launcher per installare la nuova versione;Sucht im Hintergrund nach Updates und startet den Launcher zur Installation einer neuen Version;Verifique las actualizaciones en segundo plano y ejecute el Iniciador para instalar una versión más nueva;Периодически проверять наличие обновлений и запускать этот лончер для установки новых версий;Sprawdza aktualizacje w tle i uruchamia launcher, by zainstalować nowszą wersję;Zkontrolovat aktualizace na pozadí a spustit launcher pro instalaci novější verze;Arkaplanda güncellemeleri kontrol et ve yeni bir versiyon yüklemek için Başlatıcı’yı çalıştır;在后台中检查更新，并自动打开启动器安装新版本;在后台中检查更新，并自动打开启动器安装新版本;檢查後台更新並運行啟動器以安裝新版本;バックグラウンドでアップデートをチェックし、ランチャーを実行して新しいバージョンをインストールします;Verificar atualizações e correr o inicializador para instalar uma versão mais recente;Check updates in background and run Launcher to install newer version;Час від часу перевіряти наявність оновлень та запускати цей лончер для встановлення нових версій ;Čekirajte ažuriranja u pozadini I pokrenite pokretač igre da bi ste instalirali najnoviju verziju;백그라운드에서 업데이트를 확인하고 런처를 실행해 최신 버전을 설치합니다;Frissítések ellenőrzése a háttérben és az indítópult futtatása a legfrissebb játékverzió telepítése érdekében.;Перыядычна правяраць наяўнасць абнаўленняў і запускаць лаўнчар для ўсталявання новых версій;Verificare actualizări în fundal și pornire lansator pentru a instala versiunile mai noi;
use_bg_update/on1;Automatic updates enabled.;Mises à jour automatiques activées.;Aggiornamenti automatici attivati.;Automatische Updates aktiviert.;Actualizaciones automáticas habilitadas.;Включено автообновление игры.;Automatyczne aktualizacje są włączone.;Automatické aktualizace zapnuty.;Otomatik güncelleme etkinleştirildi;已启用自动更新。;已启用自动更新。;已啟用自動更新。;自動アップデートが有効になりました。;Atualizações automáticas ativadas.;Automatic updates enabled.;Автоматичне оновлення увімкнене.;Automatsko ažuriranje omogućeno;자동 업데이트 사용 중.;Automatikus frissítés engedélyezve.;Аўтаматычнае абнаўленне ўключана.;Actualizări automate activate.;
use_bg_update/on2;Updates will be downloaded automatically. Check launcher settings to disable this feature.;Les mises à jour seront téléchargée automatiquement. Vérifiez les réglages du Launcher pour désactiver cette options.;Gli aggiornamenti saranno scaricati automaticamente. Controlla le impostazioni del launcher per disabilitare questa funzione.;Updates werden automatisch heruntergeladen. Dieses Feature kann in den Einstellungen deaktiviert werden.;Las actualizaciones se descargarán automáticamente. Verifique la configuración del lanzador para desactivar esta función.;Игра будет обновляться автоматически в фоновом режиме. Для отключения воспользуйтесь настройками лончера.;Aktualizacje zostaną pobrane automatycznie. Sprawdź ustawienia launchera by wyłączyć opcję w przyszłości.;Aktualizace se budou stahovat automaticky. V nastavení launcheru to můžete změnit.;Güncellemeler otomatik olarak indirilecek. Bu özelliği kapatmak için başlatıcı ayarlarına göz atın.;游戏更新将会自动下载。可在启动器设置中关闭此功能。;游戏更新将会自动下载。可在启动器设置中关闭此功能。;更新將自動下載。檢查啟動器設定以停用此功能。;アップデートは自動的にダウンロードされます。この機能を無効にするには、ランチャーの設定を確認してください。;As atualizações serão descarregadas automaticamente. Reveja as definições do inicializador para desativar esta funcionalidade.;Updates will be downloaded automatically. Check launcher settings to disable this feature.;Гра буде оновлюватися автоматично у фоновому режимі. Для відключення скористайтеся настройками лончера. ;Ažuriranja će biti automatski skinuta. Proverite podešavanja u pokretaču igre da onemogućite ovu opciju;자동으로 업데이트가 다운로드됩니다. 런처 설정을 통해 이 기능을 비활성화할 수 있습니다.;A frissítések automatikusan letöltésre kerülnek. Az indítópult beállításainál letilthatod ezt a funkciót.;Гульня будзе абнаўляцца аўтаматычна ў фонавым рэжыме. Адключыць гэта можна праз налады лаўнчара.;Actualizările vor fi descărcate automat. Verifică setările din lansator pentru a dezactiva această funcție.;
auto;Auto;Automatique;Automatico;Autom.;Automático;Автоматически;Automatycznie;Automaticky;Otomatik;自动;自动;自動;オート;Automático;Tự động;Автоматично ;Automatski;자동;Automatikus;Аўтаматычна;Automat;
client_type;64 bit;64 bit;64 bit;64 bit;64 bit;64 bit;64 bit;64 bit;64 bit;64 位;64 位;64 位元;64 bit;64 bit;64 bit;64 bit;64 bitno;64 비트;64 bites;64-бітны;64 bit;
