"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<TChinese>";"<Japanese>";"<Portuguese>";"<Vietnamese>";"<Ukrainian>";"<Serbian>";"<Korean>";"<Hungarian>";"<Belarusian>";"<Romanian>";"<Comments>"
"settings/SSAOquality_title";"SSAO (Screen Space Ambient Occlusion) quality significantly affects performance. Minimal value means that SSAO is switched off. The better quality the more performance required. It is not recommended to set this parameter at the rate higher than step one.";"La qualité SSAO (Screen Space Ambient Occlusion) impacte significativement les performances. La valeur minimale désactive SSAO. Une meilleure qualité requiert un matériel plus performant. Il n'est pas recommandé de régler ce paramètre sur plus que le premier niveau.";"La qualità SSAO (Screen Space Ambient Occlusion) condiziona le performance. Il valore minimo significa che la SSAA è spenta. E' richiesta una migliore qualità della performance. Non è consigliato impostare questi parametri sopra al livello uno.";"Die SSAO (Screen Space Ambient Occlusion)-Qualität hat starken Einfluss auf die Spielleistung. Auf minimalen Einstellungen ist SSAO deaktiviert. Je höher die Einstellungen, desto drastischer der Einfluss auf die Spielleistung.";"La calidad SSAO (oclusión ambiental del espacio de la pantalla) afecta significativamente el rendimiento. Valor mínimo significa que SSAA está apagado. Cuanto mejor sea la calidad, más rendimiento se requiere. No se recomienda establecer este parámetro a una velocidad mayor que el paso uno.";"SSAO (затемнение рассеянного света) требует мощной видеокарты, и чем выше качество расчёта, тем большая мощность необходима. Не рекомендуется ставить эту настройку выше первой ступени.";"Jakość SSAO wpływa na wydajność. Minimalna wartość oznacza wyłączenie tej opcji. Nie zalecamy ustawiania tej wartości na wyżej niż pierwszy próg.";"SSAO (Screen Space Ambient Occlusion) kvalita má značný dopad na výkon. Minimální hodnota znamená, že je SSAO vypnuto. Lepší kvalita vyžaduje větší výkon. Není doporučeno nastavovat tuto hodnotu výše, než na první stupeň.";"SSAO (Ekran Alanı Ortam Aydınlatması) kalitesi performansı ciddi anlamda etkiler. En düşük değerler SSAO’nun kapalı olması anlamına gelir. Daha iyi kalite daha fazla performans gerektirir. Bu değeri birinci seviyeden yükseğe ayarlamak tavsiye edilmez.";"提高 SSAO（屏幕空间环境光遮蔽）的质量会显著影响游戏性能。设定最小值意味着“超级采样反锯齿”也同时关闭。";"提高 SSAO（螢幕空間環境光遮蔽）的品質會顯著影響遊戲性能。設定最小值意味著“超取樣反鋸齒”也同時關閉。";"SSAO (Screen Space Ambient Occlusion) quality significantly affects performance. Minimal value means that SSAA is switched off. The better quality the more performance required. It is not recommended to set this parameter at the rate higher than step one.";"SSAO (Screen Space Ambient Occlusion) afeta significativamente o desempenho. O valor minimo significa que a SSAO está desligada. Para uma melhor qualidade, maior o desempenho necessário.";"SSAO (Screen Space Ambient Occlusion) Chi tiết ảnh hưởng đến hiệu suất đáng kể. Giá trị tối thiểu có nghĩa là SSAA tắt. Chất lượng tốt hơn hiệu suất yêu cầu.";"SSAO (Screen Space Ambient Occlusion - затемнення розсіяного світла) суттєво впливає на продуктивність. Мінімальне значення означає, що SSAA вимкнено. Чим вища якість, тим більше ресурсів необхідно. Не рекомендуємо виставляти даний параметр на показник вище першого.";"SSAO (zatamnjenje rasejane svetlosti) zahteva moćnu grafičku kartu, i što je veći kvalitet proračuna, to je veća moćnost karte potrebna. Ne preporučujemo vam da stavljate ovo podešavanje na nivo veći od prvog.";"SSAO(Screen Space Ambient Occlusion) 품질은 성능에 큰 영향을 줍니다. 최소값은 SSAA가 꺼진 상태입니다. 더 나은 품질을 위해 더 나은 성능이 필요합니다. 1단계보다 이 파라미터를 높게 설정하지 마십시오.";"Az SSAO (Screen Space Ambient Occlusion) minősége jelentősen befolyásolja a teljesítményt. A minimális érték mellett az SSAO kikapcsolt állapotú. Minél jobb minőségűre van állítva ez a paraméter, annál nagyobb a teljesítményigény. Nem ajánlott az első fokozatnál magasabbra állítani.";"SSAO (рассеянне навакольнага святла ў экраннай прасторы) значна ўплывае на прадукцыйнасць. Для лепшай якасці патрабуецца больш прадукцыйная відэакарта. Не рэкамендуецца задаваць гэты параметр вышэй за першую ступень.";"Calitatea SSAO (Ocluzie Ambientală Spațiu Ecran) afectează în mod semnificativ performanța. Cu cât calitatea e mai bună, cu atât trebuie mai multă performanță. Valoarea minimă înseamnă că SSAO este oprită. Nu se recomandă setarea acestui parametru la o valoare mai mare decât primul pas.";
"settings/SSRquality";"Reflections quality";"Qualité des reflections";"Qualità dei riflessi";"Reflexionsqualität";"Calidad de reflejos";"Качество отражений";"Jakość odbić";"Kvalita vykreslení odrazů";"Yansımaların Kalitesi";"反射质量";"反射質量";"反射品質";"Qualidade das Reflexões";"Reflections quality";"Якість відбитків ";"Kvalitet refleksije";"반사 품질";"Fényvisszaverődés minősége";"Якасць адбіткаў";"Calitate reflexii";
"settings/SSRquality_title";"SSR (Screen Space Reflections) quality significantly affects performance. Minimal value means that SSR is switched off. The better quality the more performance required. It is not recommended to set this parameter at the rate higher than step one.";"La qualité SSR (Screen Space Reflections) impacte significativement les performances. La valeur minimale désactive SSAO. Une meilleure qualité requiert un matériel plus performant. Il n'est pas recommandé de régler ce paramètre sur plus que le premier niveau.";"La qualità della SSR (Screen Space Reflections) incide sulle performance. Il valore minimo significa che la SSAA è spenta. E' richiesta una migliore qualità della performance. Non è consigliato impostare questi parametri sopra al livello uno.";"Die SSR (Screen Space Reflections)-Qualität hat starken Einfluss auf die Performance des Spiels. Auf minimalen Einstellungen ist SSR deaktiviert. Je höher die Einstellungen, desto drastischer der Einfluss auf die Spielleistung";"La calidad SSR (Screen Space Reflections) afecta significativamente el rendimiento. Valor mínimo significa que SSAA está apagado. Cuanto mejor sea la calidad, más rendimiento se requiere. No se recomienda establecer este parámetro a una velocidad mayor que el paso uno.";"SSR (отражения на объектах) требует мощной видеокарты, и чем выше качество расчёта, тем большая мощность необходима. Не рекомендуется ставить эту настройку выше первой ступени.";"Jakość SSR wpływa na wydajność. Minimalna wartość oznacza wyłączenie tej opcji. Nie zalecamy ustawiania tej wartości na wyżej niż pierwszy próg.";"SSR (Screen Space Reflections) kvalita má značný dopad na výkon. Minimální hodnota znamená, že je SSR vypnuto. Lepší kvalita vyžaduje větší výkon. Není doporučeno nastavovat tuto hodnotu výše, než na první stupeň.";"Yansıma kalitesi (SSR, Screen Space Reflections). SSR parametresinin aktif olmasını gerektirir. Eğer yüksek performanslı bir grafik kartına sahip değilseniz bu özelliği kullanmanız önerilmez.";"提高 SSR（Screen Space Reflections）的质量会显著影响游戏性能。设定最小值意味着“超级采样反锯齿”也同时关闭。";"提高 SSR（Screen Space Reflections）的品質會顯著影響遊戲性能。設定最小值意味著“超取樣反鋸齒”也同時關閉。";"SSR (Screen Space Reflections) quality significantly affects performance. Minimal value means that SSAA is switched off. The better quality the more performance required. It is not recommended to set this parameter at the rate higher than step one.";"SSR (Screen Space Reflections) afeta significativamente o desempenho. O valor minimo significa que a SSR está desligada. Para uma melhor qualidade, maior o desempenho necessário.";"SSR (Screen Space Reflections) Chi tiết ảnh hưởng đến hiệu suất đáng kể. Giá trị tối thiểu có nghĩa là SSAA tắt. Chất lượng tốt hơn hiệu suất yêu cầu.";"SSR (Screen Space Reflections - затемнення розсіяного світла) суттєво впливає на продуктивність. Мінімальне значення означає, що SSAA вимкнено. Чим вища якість, тим більше ресурсів необхідно. Не рекомендуємо виставляти даний параметр на показник вище першого.";"SSR (Screen Space Reflections) zahteva moćnu grafičku kartu, i što je veći kvalitet proračuna, to je potrebna veća snaga grafičkog procesora. Ne preporučujemo vam da stavljate ovo podešavanje na nivo veći od prvog.";"SSR (Screen Space Reflections) 품질은 성능에 큰 영향을 줍니다. 최소값은 SSAA가 꺼진 상태입니다. 더 나은 품질을 위해 더 나은 성능이 필요합니다. 1단계보다 이 파라미터를 높게 설정하지 마십시오.";"Az SSR (Screen Space Reflections) minősége jelentősen befolyásolja a teljesítményt. A minimális érték mellett az SSR kikapcsolt állapotú. Minél jobb minőségűre van állítva ez a paraméter, annál nagyobb a teljesítményigény. Nem ajánlott az első fokozatnál magasabbra állítani.";"SSR (адбіткі ў экраннай прасторы) значна ўплывае на прадукцыйнасць. Для лепшай якасці патрабуецца больш прадукцыйная відэакарта. Не рэкамендуецца задаваць гэты параметр вышэй за першую ступень.";"Calitatea reflexiilor. Necesită ca opțiunea SSAO să fie activată. Nu este recomandată setarea acestui parametru peste valoarea minimă, dacă placa grafică nu are o performanță ridicată.";
"settings/cloudsQuality";"Cloud quality (in flight)";"Qualité des nuages (en vol)";"Qualità nuvole (in volo)";"Wolkenqualität (im Flug)";"Calidad de las nubes";"Облака (в полете)";"Jakość chmur";"Kvalita mraků";"Bulut kalitesi (uçuşta)";"云彩质量";"雲彩品質";"クラウド品質";"Qualidade das nuvens";"Chi tiết mây";"Якість хмар";"Kvalitet oblaka (U letu)";"구름 품질";"Felhőminőség (levegőből)";"Якасць аблокаў (ў палёце)";"Calitate nori (în zbor)";
"settings/cloudsQuality_title";"This parameter changes cloud render quality but significantly affects performance.";"Ce paramètre change la qualité des nuages mais au detriment des performances";"Questo parametro consente di regolare la qualità di rendering delle nuvole, ma incide notevolmente sulle prestazioni";"Dieser Parameter legt die Renderqualität für Wolken fest. Beeinflusst stark die Spielleistung.";"Este parámetro cambia principalmente la calidad de las nubes, pero afecta significativamente el rendimiento";"Этот параметр определяет качество отображения облаков и существенно влияет на производительность";"Opcja zmienia jakość chmur, lecz wpływa na wydajność.";"Tento parametr mění kvalitu vykreslování mraků, ale má značný dopad na výkon";"Bu parametrenin değiştirilmesi bulutların çizim kalitesini artırır ancak performansı büyük ölçüde düşürür.";"提高云彩的渲染质量会大幅影响游戏帧数";"提高雲彩的渲染品質會大幅影響遊戲幀數";"このパラメータにより、クラウドレンダリング品質が変更されますが、パフォーマンスに大きく影響します。";"Este parâmetro muda a renderização da qualidade das nuvens, mas afeta significativamente o desempenho";"Thông số này khiến hiển thị mây chi tiết hơn nhưng ảnh hưởng đáng kể đến hiệu suất.";"Цей параметр змінює якість рендерингу хмар, проте суттєво впливає на продуктивність.";"Ovaj parametar menja kvalitet renderovanja oblaka, ali značajno utiče na performanse igre.";"이 파라미터는 구름 렌더링 품질을 변경하지만 성능에 큰 영향을 줍니다.";"Ez a paraméter módosítja a felhők renderelési minőségét. Jelentősen befolyásolja a teljesítményt.";"Гэты параметр вызначае якасць адрысоўкі аблокаў і значна ўплывае на прадукцыйнасць.";"Calitatea de afișare a norilor. Afectează semnificativ performanța.";
"settings/panoramaResolution";"Clouds (on ground)";"Qualité des nuages (au sol)";"Qualità nuvole (a terra)";"Wolkenqualität (an Land)";"Calidad de las nubes";"Облака (на земле)";"Jakość chmur";"Kvalita mraků";"Bulut kalitesi (karada)";"云彩质量";"雲彩品質";"クラウド品質";"Qualidade das nuvens";"Chi tiết mây";"Якість хмар";"Kvalitet oblaka (Na zemlji)";"구름 품질";"Felhőminőség (földről)";"Якасць аблокаў (на зямлі)";"Calitate nori (pe teren)";
"settings/panoramaResolution_title";"This parameter changes cloud render quality but significantly affects performance.";"Ce paramètre change la qualité des nuages mais au detriment des performances";"Questo parametro consente di regolare la qualità di rendering delle nuvole, ma incide notevolmente sulle prestazioni";"Dieser Parameter legt die Renderqualität für Wolken fest. Beeinflusst stark die Spielleistung.";"Este parámetro cambia principalmente la calidad de las nubes, pero afecta significativamente el rendimiento";"Этот параметр определяет качество отображения облаков и существенно влияет на производительность";"Opcja zmienia jakość chmur, lecz wpływa na wydajność.";"Tento parametr mění kvalitu vykreslování mraků, ale má značný dopad na výkon";"Bu parametrenin değiştirilmesi bulutların çizim kalitesini artırır ancak performansı büyük ölçüde düşürür.";"提高云彩的渲染质量会大幅影响游戏帧数";"提高雲彩的渲染品質會大幅影響遊戲幀數";"このパラメータにより、クラウドレンダリング品質が変更されますが、パフォーマンスに大きく影響します。";"Este parâmetro muda a renderização da qualidade das nuvens, mas afeta significativamente o desempenho";"Thông số này khiến hiển thị mây chi tiết hơn nhưng ảnh hưởng đáng kể đến hiệu suất.";"Цей параметр змінює якість рендерингу хмар, проте суттєво впливає на продуктивність.";"Ovaj parametar menja kvalitet renderovanja oblaka, ali značajno utiče na performanse igre.";"이 파라미터는 구름 렌더링 품질을 변경하지만 성능에 큰 영향을 줍니다.";"Ez a paraméter módosítja a felhők renderelési minőségét. Jelentősen befolyásolja a teljesítményt.";"Гэты параметр вызначае якасць адрысоўкі аблокаў і значна ўплывае на прадукцыйнасць.";"Calitatea de afișare a norilor. Afectează semnificativ performanța.";
"settings/blurShadowsQuality";"Shadow blur";"Flou des ombres";"Sfumatura ombre";"Schattenunschärfe";"Sombras borrosas";"Размывание теней";"Rozmycie cieni";"Rozmazání stínů";"Gölgelerin bulanıklığı";"阴影虚化";"陰影模糊";"Shadows blur";"Shadows blur";"Bóng mờ";"Розмиття тіней";"Zamaglenje senki";"그림자 흐리게";"Árnyékelmosódás";"Размыццё ценяў";"Estompare umbre";
"settings/blurShadowsQuality_title";"The better quality of shadow blur is set the more performance required. It is not recommended to set this parameter at the rate higher than step one. This parameter changes SSAO quality, so do not change it without SSAO.";"L'augmentation de la quality du flou des ombres requiert plus de performance. Il n'est pas recommandé de régler ce paramètre plus haut que le premier niveau. Ce régle touche au SSAO, ne le changez pas sans changer le SSAO également.";"La migliore qualità della sfumatura delle ombre richiede più performance. Non è consigliato impostare questi parametri sopra al livello uno. Questo parametro cambia la qualità della SAAO, non cambiarlo senza la SSAA.";"Je höher die Qualität der Unschärfeeffekte auf Schatten eingestellt ist, desto mehr Leistung wird benötigt. Es wird empfohlen, die Einstellung nur in Einzelschritten anzupassen. Diese Einnstellung ändert die SSAO-Qualität, benötigt also SSAO.";"La mejor calidad de las sombras borrosas se establece cuanto más rendimiento se requiere. No se recomienda establecer este parámetro a una velocidad mayor que el paso uno. Este parámetro cambia la calidad de SSAO, por lo tanto, no lo cambie sin SSAA.";"Размывание теней — это более точный расчёт полутеней на границе тени. Эта настройка заметна фактически только при включённом SSAO (затемнении рассеянного света), поэтому не рекомендуется использовать её при выключенном SSAO. Этот эффект требует мощной видеоподсистемы. Крайне не рекомендуется ставить эту настройку выше первой ступени качества, если ваша видеокарта не отличается высокой производительностью.";"Jakość rozmycia cieni. Nie zalecamy ustawiania tej wartości wyżej niż na pierwszy próg. Opcja zmienia jakość SSAO, nie należy jej zmieniać bez SSAA.";"Vyšší kvalita rozmazání stínů vyžaduje vyšší výkon.  Není doporučeno nastavovat tuto hodnotu výše, než na první stupeň. Toto nastavení také ovlivňuje kvalitu SSAO, takže ji nenastavujte, pokud nemáte SSAO zapnuté.";"Gölgelerin bulanıklığının kalitesinin artırılması daha fazla performans gerektirir. Bu değerin ilk seviyenin üstüne ayarlanması tavsiye edilmez. Bu değer, SSAO kalitesini değiştirir, bu yüzden SSAO kapalıyken değiştirmeyin.";"提高阴影虚化会影响游戏性能，建议设定时不要超过第一档。此选项还会改变“SSAO 质量”，故未启用“超级采样反锯齿”时请勿调节此选项。";"提高陰影模糊會影響遊戲性能，建議設定時不要超過step one。此選項還會改變“SSAO 品質”，故未啟用“超取樣反鋸齒”時請勿調節此選項。";"The better quality of shadows blur is set the more performance required. It is not recommended to set this parameter at the rate higher than step one. This parameter changes SSAO quality, so do not change it without SSAA.";"Quanto melhor a qualidade das shadows blur, mais desempenho é exigido. Não é recomendado aumentar este parãmetro mais que o primeiro grau. Este parâmetro muda qualidade SSAO, por isso não o altere sem SSAO";"Chất lượng tốt hơn bóng mờ được thiết lập hiệu suất yêu cầu. Không khuyến khích để thiết lập sau đó thêm một bước của tham số này. Thông số này thay đổi Chi tiết SSAO, do đó, không thay đổi nó mà không cần SSAA";"Краща якість розмиття тіней вимагає більшої продуктивності системи. Не рекомендуємо виставляти даний показник вище першого. Цей параметр змінює якість SSAO, тож не змінюйте його попередньо не змінивши налаштування SSAA.";"Zamaglenje senki je precizniji proračun polusenki na granici senke. To podešavanje je faktički primetno samo kad je uključeno SSAO (zatamljenje rasejane svetlosti) i zato vam ne savetujemo da ga koristite kad je SSAO isključeno. Ovaj efekat zahteva moćan grafički podsistem. Ne preporučujemo vam da stavljate ovo podešavanje na nivo veći od prvog ako vaša grafička karta nema visoke performanse.";"그림자 흐리게의 품질을 높게 설정하려면 더 나은 성능이 필요합니다. 1단계보다 이 파라미터를 높게 설정하지 마십시오. 이 파라미터는 SSAO 품질을 변경하므로 SSAA가 없으면 변경하지 마십시오.";"Minél jobb minőségűre van állítva az árnyékelmosódás, annál nagyobb a teljesítményigény. Nem ajánlott az első fokozatnál magasabbra állítani ezt a paramétert. Ez az opció az SSAO minőségét módosítja, ezért ne állítsd át bekapcsolt SSAO nélkül.";"Размыццё ценяў — дакладнейшы метад разліку паўценяў на мяжы ценю. Эфект ад гэтага параметра бачны толькі пры ўключаным SSAO (рассеянні навакольнага святла ў экраннай прасторы), таму не рэкамендуецца ўжываць яе пры адключаным SSAO. Не рэкамендуецца задаваць гэты параметр вышэй за першую ступень, калі ў вас няма высокапрадукцыйнай відэакарты.";"Această setare este vizibilă numai când SSAO este pornită. Acest efect necesită un subsistem grafic puternic. Nu se recomandă setarea acestui parametru la o valoare mai mare decât primul pas, dacă placa grafică nu are o performanță ridicată.";
"settings/adv/oculusRift";"VR mode";"Mode VR";"Modalità VR";"VR-Mode";"Modo VR";"Режим VR";"Tryb VR";"VR mód";"Sanal Gerçeklik Modu";"VR 模式";"VR 模式";"VRモード";"Modo VR";"VR mode";"Режим VR";"VR režim";"VR 모드";"VR-mód";"Рэжым VR";"Mod realitate virtuală";
"error/incorrectExit";"It seems that the game was shut down incorrectly. It is recommended to perform file check. Would you like to do it now?";"Il semblerait que le jeu ait été fermé de manière incorrecte. Il est recommandé de vérifier les fichiers. Voulez-vous le faire maintenant ?";"Sembra che il gioco sia stato chiuso non correttamente. E' consigliato eseguire un controllo dei files. Vuoi effettuarlo ora?";"Das Spiel wurde unerwartet beendet. Eine Überprüfung der Spieldateien wird empfohlen. Prüfung jetzt durchführen?";"Parece que el juego fue cerrado incorrectamente. Se recomienda realizar verificación de archivos. ¿Te gustaría hacerlo ahora?";"Кажется, игра была завершена некорректно. Рекомендуем выполнить проверку файлов. Сделать это сейчас?";"Gra nie została poprawnie zamknięta. Zalecane jest sprawdzenie plików.";"Zdá se, že byla hra nestandardně ukončena. Doporučujeme provést kontrolu souborů. Chcete tak nyní učinit?";"Oyun yanlış bir biçimde kapatıldı. Dosya kontrolü yapılması önerilmektedir. Bunu şimdi yapmak ister misiniz?";"游戏异常关闭。要检查文件的完整性吗？";"遊戲異常關閉。要檢查檔案的完整性嗎？";"It seems game was shut down incorrectly. It is recommended to perform files check. Would you like to do it now?";"Parece que o jogo foi desligado incorretamente. É recomendado verificar os ficheiros. Deseja fazê-lo agora?";"Có vẻ như trò chơi đã bị tắt không đúng. Chúng tôi đề nghị để thực hiện kiểm tra các tập tin. Bạn có muốn làm điều đó bây giờ?";"Схоже гра некоректно завершила свою роботу. Рекомендовано провести перевірку файлів. Бажаєте здійснити це зараз?";"Izgleda da se igra ugasila nepravilno. Preporučujemo da izvršite proveru fajlova. Da li želite da uradite to sada?";"게임이 잘못 종료된 것 같습니다. 파일을 검사하십시오. 지금 실행하시겠습니까?";"Úgy tűnik, a játék nem megfelelően került leállításra, ezért erősen ajánlott ellenőrizni a fájlok épségét. Szeretnéd ezt most megtenni?";"Здаецца, гульня была завершана некарэктна. Рэкамендуем выканаць праверку файлаў. Ці хочаце зрабіць гэта зараз?";"Se pare că jocul a fost închis incorect. Este recomandată executarea unei verificări. Dorești să o efectuezi acum?";
"error/update_gpu_url";"Please update your video drivers here";"Veuillez mettre à jour vos drivers vidéos ici";"Sei pregato di aggiornare i tuoi driver video qui";"Bitte Grafikkartentreiber hier aktualisieren";"Por favor, actualice sus controladores de video aquí";"Обновите драйвера здесь";"Zaktualizuj swoje sterowniki do karty graficznej";"Zde si prosím zaktualizujte ovladače své grafické karty";"Buradan ekran karti sürücülerinizi güncelleyin";"点击此处升级显卡驱动。";"點擊此處升級顯示卡驅動。";"Please, update your video drivers here";"Por favor, atualize os drivers gráficos aqui";"Xin vui lòng, cập nhật trình điều khiển video của bạn ở đây";"Будь ласка, оновіть ваш відеодрайвер тут";"Molimo vas ažurirajte vaše drajvere ovde.";"여기서 비디오 드라이버를 업데이트하십시오";"Kérlek, frissítsd a videokártyád illesztőprogramját!";"Абнавіце свае відэадрайверы тут";"Actualizează driverele plăcii video aici";
"error/update_gpu";"Your video card driver seems to be outdated for War Thunder. Please update your video drivers now.";"Vos drivers de carte graphique semblent obsolètes pour War Thunder. Veuillez mettre vos drivers à jour maintenant.";"I driver della tua scheda video sembrano obsoleti per War Thunder. Sei pregato di aggiornare i tuoi driver video ora.";"Der Treiber deiner Grafikkarte scheint veraltet zu sein. Lade vor dem Spielen von War Thunder bitte eine aktualisierte Version herunter.";"Tu controlador de tarjeta de video parece estar desactualizado para War Thunder. Por favor, actualice sus controladores de video ahora.";"По всей видимости, у вас слишком устаревшие драйвера для нормальной работы War Thunder. Пожалуйста, обновите их сейчас.";"Twoje sterowniki do karty graficznej są przestarzałe. Zaktualizuj je.";"Ovladač vaší grafické karty je zastaralý pro hraní War Thunderu. Proveďte prosím jeho aktualizaci.";"Ekran kartı sürücünüz War Thunder için eski. Lütfen sürücülerinizi güncelleyin.";"显卡驱动似乎不是最新版，建议升级。";"顯示卡驅動似乎不是最新版本，建議升級。";"You videocard driver seems to be outdated for War Thunder. Please, update your video drivers now.";"As placas gráficas parecem estar desatualizadas para o War Thunder. Por favor, atualize os drivers gráficos agora.";"Trình điều khiển card màn hình của bạn dường như đã lỗi thời với War Thunder. Xin vui lòng, cập nhật trình điều khiển video của bạn ngay bây giờ.";"Схоже ваш відеодрайвер застарів для War Thunder. Будь ласка, оновіть його зараз.";"Drajveri za vašu grafičku kartu su zastareli za War Thunder. Molimo vas da ažurirate vaše drajvere.";"비디오 카드 드라이버가 워썬더와 호환되지 않는 것 같습니다. 지금 비디오 카드 드라이버를 업데이트하십시오.";"A videokártyád illesztőprogramja elavultnak tűnik a War Thunder futtatásához. Kérlek, frissítsd!";"Здаецца, драйверы вашай відэакарты занадта ўстарэлыя для нармальнай работы War Thunder. Абнавіце іх зараз.";"Driverele plăcii video sunt depășite pentru War Thunder. Actualizează-le acum.";
"carousel/picture_list_url";"127.0.0.1:23456/web/carousel-images-loc.csv";"127.0.0.1:23456/web/carousel-images-loc.csv";"127.0.0.1:23456/web/carousel-images-loc.csv";"127.0.0.1:23456/web/carousel-images-loc.csv";"127.0.0.1:23456/web/carousel-images-loc.csv";"127.0.0.1:23456/web/carousel-images-loc.csv";"127.0.0.1:23456/web/carousel-images-loc.csv";"127.0.0.1:23456/web/carousel-images-loc.csv";"127.0.0.1:23456/web/carousel-images-loc.csv";"127.0.0.1:23456/web/carousel-images-loc.csv";"127.0.0.1:23456/web/carousel-images-loc.csv";"127.0.0.1:23456/web/carousel-images-loc.csv";"127.0.0.1:23456/web/carousel-images-loc.csv";"127.0.0.1:23456/web/carousel-images-loc.csv";"127.0.0.1:23456/web/carousel-images-loc.csv";"127.0.0.1:23456/web/carousel-images-loc.csv";"127.0.0.1:23456/web/carousel-images-loc.csv";"127.0.0.1:23456/web/carousel-images-loc.csv";"127.0.0.1:23456/web/carousel-images-loc.csv";"127.0.0.1:23456/web/carousel-images-loc.csv";
"carousel/html_url";"127.0.0.1:23456/web/carousel-loc.html";"127.0.0.1:23456/web/carousel-loc.html";"127.0.0.1:23456/web/carousel-loc.html";"127.0.0.1:23456/web/carousel-loc.html";"127.0.0.1:23456/web/carousel-loc.html";"127.0.0.1:23456/web/carousel-loc.html";"127.0.0.1:23456/web/carousel-loc.html";"127.0.0.1:23456/web/carousel-loc.html";"127.0.0.1:23456/web/carousel-loc.html";"127.0.0.1:23456/web/carousel-loc.html";"127.0.0.1:23456/web/carousel-loc.html";"127.0.0.1:23456/web/carousel-loc.html";"127.0.0.1:23456/web/carousel-loc.html";"127.0.0.1:23456/web/carousel-loc.html";"127.0.0.1:23456/web/carousel-loc.html";"127.0.0.1:23456/web/carousel-loc.html";"127.0.0.1:23456/web/carousel-loc.html";"127.0.0.1:23456/web/carousel-loc.html";"127.0.0.1:23456/web/carousel-loc.html";"127.0.0.1:23456/web/carousel-loc.html";
"settings/adv/waterRefraction";"Water refraction";"Refraction de l'eau";"Rifrazione dell'acqua";"Wasser-Lichtbrechung";"Refracción del agua";"Преломление воды";"Refrakcje wody";"Lom světla ve vodě";"Su kırılmaları";"水面折射";"水面折射";"水の屈折";"Refração da água";"Water refraction";"Відбиття води ";"Refrakcija vode";"수면 굴절";"Fénytörés vízben";"Праламленні ў вадзе";"Refracție apă";
"settings/adv/wake";"Ripple effect (wake)";"Remous (sillage)";"Effetto a catena (scia)";"Welleneffekt (Fahrtwasser)";"Efecto dominó (despertar)";"Волновой эффект";"Efekt falowania";"Efekt vlnění (úplav)";"Dalgalanma etkisi (girdap)";"涟漪特效（在水中的行驶尾迹）";"漣漪特效 (在水中的行駛尾跡)";"さざなみエフェクト (航跡)";"Efeito de esteira do navio";"Ripple effect (wake)";"Хвильовий ефект";"Efekat talasanja (talasi)";"물결 효과 (항적)";"Fodrozódás (nyomdokvíz)";"Хвалевы эфект";"Efect valuri";
"title_image";"img/titles/title_eng.png";"img/titles/title_eng.png";"img/titles/title_eng.png";"img/titles/title_eng.png";"img/titles/title_eng.png";"img/titles/title_eng.png";"img/titles/title_eng.png";"img/titles/title_eng.png";"img/titles/title_eng.png";"img/titles/title_eng.png";"img/titles/title_eng.png";"img/titles/title_eng.png";"img/titles/title_eng.png";"img/titles/title_eng.png";"img/titles/title_eng.png";"img/titles/title_eng.png";"img/titles/title_eng.png";"img/titles/title_eng.png";"img/titles/title_eng.png";"img/titles/title_eng.png";
"title_url";"https://warthunder.com/en/game/changelog/";"https://warthunder.com/fr/game/changelog/";"https://warthunder.com/en/game/changelog/";"https://warthunder.com/de/game/changelog/";"https://warthunder.com/es/game/changelog/";"https://warthunder.ru/ru/game/changelog/";"https://warthunder.com/pl/game/changelog/";"https://warthunder.com/cz/game/changelog/";"https://warthunder.com/en/game/changelog/";"https://warthunder.com/zh/game/changelog/";"https://warthunder.com/zh/game/changelog/";"https://warthunder.com/en/game/changelog/";"https://warthunder.com/pt/game/changelog/";"https://warthunder.com/en/game/changelog/";"https://warthunder.com/en/game/changelog/";"https://warthunder.com/en/game/changelog/";"https://warthunder.com/ko/game/changelog/";"https://warthunder.com/en/game/changelog/";"https://warthunder.ru/ru/game/changelog/";"https://warthunder.com/en/game/changelog/";
"settings/adv/physicsQuality";"Physics Quality";"Qualité de la physique";"Qualità delle fisiche";"Physik-Qualität";"Calidad Física";"Качество физики";"Jakość fizyki";"Kvalita fyziky";"Fizik Kalitesi";"物理加速质量";"物理加速質量";"物理品質";"Qualidade das Físicas";"Physics Quality";"Якість фізики ";"Kvalitet fizike";"물리 품질";"Fizika minősége";"Якасць фізікі";"Calitate efecte fizice";
"settings/adv/enableNvHighlights";"Nvidia Highlights:";"Nvidia Highlights:";"Nvidia Highlights:";"Nvidia Highlights:";"Nvidia Highlights:";"Nvidia - Лучшие моменты:";"Nvidia Highlights:";"Nvidia doporučuje:";"Nvidia Önemli Anlar";"英伟达® 亮点捕捉：";"Nvidia 精彩畫面擷取：";"NVIDIAハイライト：";"Nvidia Highlights:";"Nvidia Highlights:";"Nvidia - Найкращі моменти:";"Nvidia Highlights:";"Nvidia 하이라이트:";"Nvidia kiemelések:";"Nvidia Highlights:";"Funcții Nvidia:";
